ds,yhat
2015-01-31,14300.77064514803
2015-02-28,2292.5553132257373
2015-03-31,52016.859580527824
2015-04-30,21123.40530209654
2015-05-31,22726.533276277987
2015-06-30,29917.598939525316
2015-07-31,25841.027078038744
2015-08-31,24904.257006238986
2015-09-30,70749.36901809296
2015-10-31,38069.69744649684
2015-11-30,80843.70566245675
2015-12-31,63393.17289259979
2016-01-31,19349.235993365648
2016-02-29,14205.764601790826
2016-03-31,33165.95824939699
2016-04-30,32995.51115454501
2016-05-31,40181.780605909895
2016-06-30,28602.266099686494
2016-07-31,32162.95688509503
2016-08-31,38791.80520130208
2016-09-30,63983.86722091146
2016-10-31,46040.10058423184
2016-11-30,78370.89072519529
2016-12-31,81357.39990891678
2017-01-31,26112.35296456523
2017-02-28,18207.721650646163
2017-03-31,47851.8561938056
2017-04-30,37865.76041472569
2017-05-31,43316.71796636524
2017-06-30,38245.487212546985
2017-07-31,39624.22933485363
2017-08-31,43931.22559120545
2017-09-30,76334.54186269944
2017-10-31,53810.18821186208
2017-11-30,89780.86564508853
2017-12-31,86035.87465455555
2018-01-31,34521.36200178934
2018-02-28,24656.777313392617
2018-03-31,64561.29050275282
2018-04-30,44333.50066027131
2018-05-31,47925.196211568255
2018-06-30,49114.87491856567
2018-07-31,47949.43503657897
2018-08-31,49735.764434178185
2018-09-30,89026.6806225476
2018-10-31,61590.56582630683
2018-11-30,101136.35219101298
2018-12-31,90673.75270385534
2019-01-31,42990.56846040481
2019-02-28,31248.279277625974
2019-03-31,81267.00178218647
2019-04-30,50658.46837871231
2019-05-31,52556.01458852629
2019-06-30,60032.00112459736
